Time           PID            Old State      New State     

1              1              NEW            READY

1              2              NEW            READY

1              3              NEW            READY

1              4              NEW            READY

1              5              NEW            READY

1              6              NEW            READY

1              7              NEW            READY

1              8              NEW            READY

1              9              NEW            READY

1              10             NEW            READY

1              11             NEW            READY

1              12             NEW            READY

1              13             NEW            READY

1              14             NEW            READY

1              15             NEW            READY

1              16             NEW            READY

1              17             NEW            READY

1              18             NEW            READY

1              19             NEW            READY

1              20             NEW            READY

1              1              READY          RUNNING

21             1              RUNNING        TERMINATED

22             2              READY          RUNNING

42             2              RUNNING        TERMINATED

43             3              READY          RUNNING

63             3              RUNNING        TERMINATED

64             4              READY          RUNNING

84             4              RUNNING        TERMINATED

85             5              READY          RUNNING

105            5              RUNNING        TERMINATED

106            6              READY          RUNNING

126            6              RUNNING        TERMINATED

127            7              READY          RUNNING

147            7              RUNNING        TERMINATED

148            8              READY          RUNNING

168            8              RUNNING        TERMINATED

169            9              READY          RUNNING

189            9              RUNNING        TERMINATED

190            10             READY          RUNNING

210            10             RUNNING        TERMINATED

211            11             READY          RUNNING

231            11             RUNNING        TERMINATED

232            12             READY          RUNNING

252            12             RUNNING        TERMINATED

253            13             READY          RUNNING

273            13             RUNNING        TERMINATED

274            14             READY          RUNNING

294            14             RUNNING        TERMINATED

295            15             READY          RUNNING

315            15             RUNNING        TERMINATED

316            16             READY          RUNNING

336            16             RUNNING        TERMINATED

337            17             READY          RUNNING

357            17             RUNNING        TERMINATED

358            18             READY          RUNNING

378            18             RUNNING        TERMINATED

379            19             READY          RUNNING

399            19             RUNNING        TERMINATED

400            20             READY          RUNNING

420            20             RUNNING        TERMINATED



NUMBER OF PROCESSES >>> 20

THROUGHPUT >>> 21.05 ms/process

AVERAGE TURNAROUND TIME >>> 219.50 ms/process

TOTAL WAIT TIME >>> 3990 ms

AVERAGE WAIT TIME >>> 199.50 ms/process

AVERAGE CPU BURST TIME >>> 20.00 ms/process

